2007-2011 Statistics of U.S. Businesses comma-delimited files

MSA
CODE	MSA DESCRIPTION  (#939)
10020   Abbeville, LA Micropolitan Statistical Area
18380   Cordele, GA Micropolitan Statistical Area
18420   Corinth, MS Micropolitan Statistical Area
18460   Cornelia, GA Micropolitan Statistical Area
18500   Corning, NY Micropolitan Statistical Area
18580   Corpus Christi, TX Metropolitan Statistical Area
18620   Corsicana, TX Micropolitan Statistical Area
18660   Cortland, NY Micropolitan Statistical Area
18700   Corvallis, OR Metropolitan Statistical Area
18740   Coshocton, OH Micropolitan Statistical Area
18820   Crawfordsville, IN Micropolitan Statistical Area
18860   Crescent City, CA Micropolitan Statistical Area
18900   Crossville, TN Micropolitan Statistical Area
18940   Crowley, LA Micropolitan Statistical Area
18980   Cullman, AL Micropolitan Statistical Area
19020   Culpeper, VA Micropolitan Statistical Area
19060   Cumberland, MD-WV Metropolitan Statistical Area
19100   Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area
19140   Dalton, GA Metropolitan Statistical Area
19180   Danville, IL Metropolitan Statistical Area
19220   Danville, KY Micropolitan Statistical Area
19260   Danville, VA Metropolitan Statistical Area
19300   Daphne-Fairhope-Foley, AL Micropolitan Statistical Area
19340   Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area
19380   Dayton, OH Metropolitan Statistical Area
19460   Decatur, AL Metropolitan Statistical Area
19500   Decatur, IL Metropolitan Statistical Area
19540   Decatur, IN Micropolitan Statistical Area
19580   Defiance, OH Micropolitan Statistical Area
19620   Del Rio, TX Micropolitan Statistical Area
19660   Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area
19700   Deming, NM Micropolitan Statistical Area
19740   Denver-Aurora, CO Metropolitan Statistical Area
19760   De Ridder, LA Micropolitan Statistical Area
19780   Des Moines-West Des Moines, IA Metropolitan Statistical Area
19820   Detroit-Warren-Livonia, MI Metropolitan Statistical Area
19860   Dickinson, ND Micropolitan Statistical Area
19900   Dillon, SC Micropolitan Statistical Area
19940   Dixon, IL Micropolitan Statistical Area
19980   Dodge City, KS Micropolitan Statistical Area
20020   Dothan, AL Metropolitan Statistical Area
20060   Douglas, GA Micropolitan Statistical Area
20100   Dover, DE Metropolitan Statistical Area
20140   Dublin, GA Micropolitan Statistical Area
20180   DuBois, PA Micropolitan Statistical Area
20220   Dubuque, IA Metropolitan Statistical Area
20260   Duluth, MN-WI Metropolitan Statistical Area
20300   Dumas, TX Micropolitan Statistical Area
20340   Duncan, OK Micropolitan Statistical Area
20380   Dunn, NC Micropolitan Statistical Area
20420   Durango, CO Micropolitan Statistical Area
20460   Durant, OK Micropolitan Statistical Area
20500   Durham, NC Metropolitan Statistical Area
20540   Dyersburg, TN Micropolitan Statistical Area
20580   Eagle Pass, TX Micropolitan Statistical Area
20620   East Liverpool-Salem, OH Micropolitan Statistical Area
20660   Easton, MD Micropolitan Statistical Area
20700   East Stroudsburg, PA Micropolitan Statistical Area
20740   Eau Claire, WI Metropolitan Statistical Area
20780   Edwards, CO Micropolitan Statistical Area
20820   Effingham, IL Micropolitan Statistical Area
20900   El Campo, TX Micropolitan Statistical Area
20940   El Centro, CA Metropolitan Statistical Area
20980   El Dorado, AR Micropolitan Statistical Area
21020   Elizabeth City, NC Micropolitan Statistical Area
21060   Elizabethtown, KY Metropolitan Statistical Area
21120   Elk City, OK Micropolitan Statistical Area
21140   Elkhart-Goshen, IN Metropolitan Statistical Area
21220   Elko, NV Micropolitan Statistical Area
21260   Ellensburg, WA Micropolitan Statistical Area
21300   Elmira, NY Metropolitan Statistical Area
21340   El Paso, TX Metropolitan Statistical Area
21380   Emporia, KS Micropolitan Statistical Area
21420   Enid, OK Micropolitan Statistical Area
21460   Enterprise-Ozark, AL Micropolitan Statistical Area
21500   Erie, PA Metropolitan Statistical Area
21540   Escanaba, MI Micropolitan Statistical Area
21580   Espanola, NM Micropolitan Statistical Area
21640   Eufaula, AL-GA Micropolitan Statistical Area
21660   Eugene-Springfield, OR Metropolitan Statistical Area
21700   Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area
21740   Evanston, WY Micropolitan Statistical Area
21780   Evansville, IN-KY Metropolitan Statistical Area
21820   Fairbanks, AK Metropolitan Statistical Area
21860   Fairmont, MN Micropolitan Statistical Area
21900   Fairmont, WV Micropolitan Statistical Area
21980   Fallon, NV Micropolitan Statistical Area
22020   Fargo, ND-MN Metropolitan Statistical Area
22060   Faribault-Northfield, MN Micropolitan Statistical Area
22100   Farmington, MO Micropolitan Statistical Area
22140   Farmington, NM Metropolitan Statistical Area
22180   Fayetteville, NC Metropolitan Statistical Area
22220   Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area
22260   Fergus Falls, MN Micropolitan Statistical Area
22280   Fernley, NV Micropolitan Statistical Area
22300   Findlay, OH Micropolitan Statistical Area
22340   Fitzgerald, GA Micropolitan Statistical Area
22380   Flagstaff, AZ Metropolitan Statistical Area
22420   Flint, MI Metropolitan Statistical Area
22500   Florence, SC Metropolitan Statistical Area
22520   Florence-Muscle Shoals, AL Metropolitan Statistical Area
22540   Fond du Lac, WI Metropolitan Statistical Area
22580   Forest City, NC Micropolitan Statistical Area
22620   Forrest City, AR Micropolitan Statistical Area
22660   Fort Collins-Loveland, CO Metropolitan Statistical Area
22700   Fort Dodge, IA Micropolitan Statistical Area
22780   Fort Leonard Wood, MO Micropolitan Statistical Area
22800   Fort Madison-Keokuk, IA-MO Micropolitan Statistical Area
22820   Fort Morgan, CO Micropolitan Statistical Area
22840   Fort Payne, AL Micropolitan Statistical Area
22860   Fort Polk South, LA Micropolitan Statistical Area
22900   Fort Smith, AR-OK Metropolitan Statistical Area
22980   Fort Valley, GA Micropolitan Statistical Area
23020   Fort Walton Beach-Crestview-Destin, FL Metropolitan Statistical Area
23060   Fort Wayne, IN Metropolitan Statistical Area
23140   Frankfort, IN Micropolitan Statistical Area
23180   Frankfort, KY Micropolitan Statistical Area
23240   Fredericksburg, TX Micropolitan Statistical Area
23300   Freeport, IL Micropolitan Statistical Area
23340   Fremont, NE Micropolitan Statistical Area
23380   Fremont, OH Micropolitan Statistical Area
23420   Fresno, CA Metropolitan Statistical Area
23460   Gadsden, AL Metropolitan Statistical Area
23500   Gaffney, SC Micropolitan Statistical Area
23540   Gainesville, FL Metropolitan Statistical Area
23580   Gainesville, GA Metropolitan Statistical Area
23620   Gainesville, TX Micropolitan Statistical Area
23660   Galesburg, IL Micropolitan Statistical Area
23700   Gallup, NM Micropolitan Statistical Area
23780   Garden City, KS Micropolitan Statistical Area
23820   Gardnerville Ranchos, NV Micropolitan Statistical Area
23860   Georgetown, SC Micropolitan Statistical Area
23900   Gettysburg, PA Micropolitan Statistical Area
23940   Gillette, WY Micropolitan Statistical Area
23980   Glasgow, KY Micropolitan Statistical Area
24020   Glens Falls, NY Metropolitan Statistical Area
24100   Gloversville, NY Micropolitan Statistical Area
24140   Goldsboro, NC Metropolitan Statistical Area
24180   Granbury, TX Micropolitan Statistical Area
24220   Grand Forks, ND-MN Metropolitan Statistical Area
24260   Grand Island, NE Micropolitan Statistical Area
24300   Grand Junction, CO Metropolitan Statistical Area
24340   Grand Rapids-Wyoming, MI Metropolitan Statistical Area
24380   Grants, NM Micropolitan Statistical Area
24420   Grants Pass, OR Micropolitan Statistical Area
24460   Great Bend, KS Micropolitan Statistical Area
24500   Great Falls, MT Metropolitan Statistical Area
24540   Greeley, CO Metropolitan Statistical Area
24580   Green Bay, WI Metropolitan Statistical Area
24620   Greeneville, TN Micropolitan Statistical Area
24660   Greensboro-High Point, NC Metropolitan Statistical Area
24700   Greensburg, IN Micropolitan Statistical Area
24740   Greenville, MS Micropolitan Statistical Area
24780   Greenville, NC Metropolitan Statistical Area
24820   Greenville, OH Micropolitan Statistical Area
24860   Greenville-Mauldin-Easley, SC Metropolitan Statistical Area
24900   Greenwood, MS Micropolitan Statistical Area
24940   Greenwood, SC Micropolitan Statistical Area
24980   Grenada, MS Micropolitan Statistical Area
25060   Gulfport-Biloxi, MS Metropolitan Statistical Area
25100   Guymon, OK Micropolitan Statistical Area
25180   Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area
25220   Hammond, LA Micropolitan Statistical Area
25260   Hanford-Corcoran, CA Metropolitan Statistical Area
25300   Hannibal, MO Micropolitan Statistical Area
25340   Harriman, TN Micropolitan Statistical Area
25380   Harrisburg, IL Micropolitan Statistical Area
25420   Harrisburg-Carlisle, PA Metropolitan Statistical Area
25460   Harrison, AR Micropolitan Statistical Area
25500   Harrisonburg, VA Metropolitan Statistical Area
25540   Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area
25580   Hastings, NE Micropolitan Statistical Area
25620   Hattiesburg, MS Metropolitan Statistical Area
25660   Havre, MT Micropolitan Statistical Area
25700   Hays, KS Micropolitan Statistical Area
25720   Heber, UT Micropolitan Statistical Area
25740   Helena, MT Micropolitan Statistical Area
25780   Henderson, NC Micropolitan Statistical Area
25820   Hereford, TX Micropolitan Statistical Area
25860   Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area
25900   Hilo, HI Micropolitan Statistical Area
25940   Hilton Head Island-Beaufort, SC Micropolitan Statistical Area
25980   Hinesville-Fort Stewart, GA Metropolitan Statistical Area
26020   Hobbs, NM Micropolitan Statistical Area
26100   Holland-Grand Haven, MI Metropolitan Statistical Area
26140   Homosassa Springs, FL Micropolitan Statistical Area
26180   Honolulu, HI Metropolitan Statistical Area
26220   Hood River, OR Micropolitan Statistical Area
26260   Hope, AR Micropolitan Statistical Area
26300   Hot Springs, AR Metropolitan Statistical Area
26340   Houghton, MI Micropolitan Statistical Area
26380   Houma-Bayou Cane-Thibodaux, LA Metropolitan Statistical Area
26420   Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area
26460   Hudson, NY Micropolitan Statistical Area
26480   Humboldt, TN Micropolitan Statistical Area
26500   Huntingdon, PA Micropolitan Statistical Area
26540   Huntington, IN Micropolitan Statistical Area
26580   Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area
26620   Huntsville, AL Metropolitan Statistical Area
26660   Huntsville, TX Micropolitan Statistical Area
26700   Huron, SD Micropolitan Statistical Area
26740   Hutchinson, KS Micropolitan Statistical Area
26780   Hutchinson, MN Micropolitan Statistical Area
26820   Idaho Falls, ID Metropolitan Statistical Area
26860   Indiana, PA Micropolitan Statistical Area
26900   Indianapolis-Carmel, IN Metropolitan Statistical Area
26940   Indianola, MS Micropolitan Statistical Area
26980   Iowa City, IA Metropolitan Statistical Area
27020   Iron Mountain, MI-WI Micropolitan Statistical Area
27060   Ithaca, NY Metropolitan Statistical Area
27100   Jackson, MI Metropolitan Statistical Area
27140   Jackson, MS Metropolitan Statistical Area
27180   Jackson, TN Metropolitan Statistical Area
27220   Jackson, WY-ID Micropolitan Statistical Area
27260   Jacksonville, FL Metropolitan Statistical Area
27300   Jacksonville, IL Micropolitan Statistical Area
27340   Jacksonville, NC Metropolitan Statistical Area
27380   Jacksonville, TX Micropolitan Statistical Area
27420   Jamestown, ND Micropolitan Statistical Area
27460   Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area
27500   Janesville, WI Metropolitan Statistical Area
27540   Jasper, IN Micropolitan Statistical Area
27620   Jefferson City, MO Metropolitan Statistical Area
27660   Jennings, LA Micropolitan Statistical Area
27700   Jesup, GA Micropolitan Statistical Area
27740   Johnson City, TN Metropolitan Statistical Area
27780   Johnstown, PA Metropolitan Statistical Area
27860   Jonesboro, AR Metropolitan Statistical Area
27900   Joplin, MO Metropolitan Statistical Area
27940   Juneau, AK Micropolitan Statistical Area
27980   Kahului-Wailuku, HI Micropolitan Statistical Area
28020   Kalamazoo-Portage, MI Metropolitan Statistical Area
28060   Kalispell, MT Micropolitan Statistical Area
28100   Kankakee-Bradley, IL Metropolitan Statistical Area
28140   Kansas City, MO-KS Metropolitan Statistical Area
28180   Kapaa, HI Micropolitan Statistical Area
28260   Kearney, NE Micropolitan Statistical Area
28300   Keene, NH Micropolitan Statistical Area
28340   Kendallville, IN Micropolitan Statistical Area
28380   Kennett, MO Micropolitan Statistical Area
28420   Kennewick-Richland-Pasco, WA Metropolitan Statistical Area
28500   Kerrville, TX Micropolitan Statistical Area
28540   Ketchikan, AK Micropolitan Statistical Area
28580   Key West, FL Micropolitan Statistical Area
28620   Kill Devil Hills, NC Micropolitan Statistical Area
28660   Killeen-Temple-Fort Hood, TX Metropolitan Statistical Area
28700   Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area
28740   Kingston, NY Metropolitan Statistical Area
28780   Kingsville, TX Micropolitan Statistical Area
28820   Kinston, NC Micropolitan Statistical Area
28860   Kirksville, MO Micropolitan Statistical Area
28900   Klamath Falls, OR Micropolitan Statistical Area
28940   Knoxville, TN Metropolitan Statistical Area
28980   Kodiak, AK Micropolitan Statistical Area
29020   Kokomo, IN Metropolitan Statistical Area
29060   Laconia, NH Micropolitan Statistical Area
29100   La Crosse, WI-MN Metropolitan Statistical Area
29140   Lafayette, IN Metropolitan Statistical Area
29180   Lafayette, LA Metropolitan Statistical Area
29220   La Follette, TN Micropolitan Statistical Area
29260   La Grande, OR Micropolitan Statistical Area
29300   LaGrange, GA Micropolitan Statistical Area
29340   Lake Charles, LA Metropolitan Statistical Area
29380   Lake City, FL Micropolitan Statistical Area
29420   Lake Havasu City-Kingman, AZ Metropolitan Statistical Area
29460   Lakeland, FL Metropolitan Statistical Area
29500   Lamesa, TX Micropolitan Statistical Area
29540   Lancaster, PA Metropolitan Statistical Area
29580   Lancaster, SC Micropolitan Statistical Area
29620   Lansing-East Lansing, MI Metropolitan Statistical Area
29660   Laramie, WY Micropolitan Statistical Area
29700   Laredo, TX Metropolitan Statistical Area
29740   Las Cruces, NM Metropolitan Statistical Area
29780   Las Vegas, NM Micropolitan Statistical Area
29820   Las Vegas-Paradise, NV Metropolitan Statistical Area
29860   Laurel, MS Micropolitan Statistical Area
29900   Laurinburg, NC Micropolitan Statistical Area
29940   Lawrence, KS Metropolitan Statistical Area
29980   Lawrenceburg, TN Micropolitan Statistical Area
30020   Lawton, OK Metropolitan Statistical Area
30060   Lebanon, MO Micropolitan Statistical Area
30100   Lebanon, NH-VT Micropolitan Statistical Area
30140   Lebanon, PA Metropolitan Statistical Area
30220   Levelland, TX Micropolitan Statistical Area
30260   Lewisburg, PA Micropolitan Statistical Area
30280   Lewisburg, TN Micropolitan Statistical Area
30300   Lewiston, ID-WA Metropolitan Statistical Area
30340   Lewiston-Auburn, ME Metropolitan Statistical Area
30380   Lewistown, PA Micropolitan Statistical Area
30420   Lexington, NE Micropolitan Statistical Area
30460   Lexington-Fayette, KY Metropolitan Statistical Area
30500   Lexington Park, MD Micropolitan Statistical Area
30580   Liberal, KS Micropolitan Statistical Area
30620   Lima, OH Metropolitan Statistical Area
30660   Lincoln, IL Micropolitan Statistical Area
30700   Lincoln, NE Metropolitan Statistical Area
30740   Lincolnton, NC Micropolitan Statistical Area
30780   Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area
30820   Lock Haven, PA Micropolitan Statistical Area
30860   Logan, UT-ID Metropolitan Statistical Area
30900   Logansport, IN Micropolitan Statistical Area
30940   London, KY Micropolitan Statistical Area
30980   Longview, TX Metropolitan Statistical Area
31020   Longview, WA Metropolitan Statistical Area
31060   Los Alamos, NM Micropolitan Statistical Area
31100   Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area
31140   Louisville/Jefferson County, KY-IN Metropolitan Statistical Area
31180   Lubbock, TX Metropolitan Statistical Area
31260   Lufkin, TX Micropolitan Statistical Area
31300   Lumberton, NC Micropolitan Statistical Area
31340   Lynchburg, VA Metropolitan Statistical Area
31380   Macomb, IL Micropolitan Statistical Area
31420   Macon, GA Metropolitan Statistical Area
31460   Madera, CA Metropolitan Statistical Area
31500   Madison, IN Micropolitan Statistical Area
31540   Madison, WI Metropolitan Statistical Area
31580   Madisonville, KY Micropolitan Statistical Area
31620   Magnolia, AR Micropolitan Statistical Area
31660   Malone, NY Micropolitan Statistical Area
31700   Manchester-Nashua, NH Metropolitan Statistical Area
31740   Manhattan, KS Micropolitan Statistical Area
31820   Manitowoc, WI Micropolitan Statistical Area
31860   Mankato-North Mankato, MN Micropolitan Statistical Area
31900   Mansfield, OH Metropolitan Statistical Area
31940   Marinette, WI-MI Micropolitan Statistical Area
31980   Marion, IN Micropolitan Statistical Area
32020   Marion, OH Micropolitan Statistical Area
32060   Marion-Herrin, IL Micropolitan Statistical Area
32100   Marquette, MI Micropolitan Statistical Area
32140   Marshall, MN Micropolitan Statistical Area
32180   Marshall, MO Micropolitan Statistical Area
32220   Marshall, TX Micropolitan Statistical Area
32260   Marshalltown, IA Micropolitan Statistical Area
32270   Marshfield-Wisconsin Rapids, WI Micropolitan Statistical Area
32280   Martin, TN Micropolitan Statistical Area
32300   Martinsville, VA Micropolitan Statistical Area
32340   Maryville, MO Micropolitan Statistical Area
32380   Mason City, IA Micropolitan Statistical Area
32460   Mayfield, KY Micropolitan Statistical Area
32500   Maysville, KY Micropolitan Statistical Area
32540   McAlester, OK Micropolitan Statistical Area
32580   McAllen-Edinburg-Mission, TX Metropolitan Statistical Area
32620   McComb, MS Micropolitan Statistical Area
32660   McMinnville, TN Micropolitan Statistical Area
32700   McPherson, KS Micropolitan Statistical Area
32740   Meadville, PA Micropolitan Statistical Area
32780   Medford, OR Metropolitan Statistical Area
32820   Memphis, TN-MS-AR Metropolitan Statistical Area
32860   Menomonie, WI Micropolitan Statistical Area
32900   Merced, CA Metropolitan Statistical Area
32940   Meridian, MS Micropolitan Statistical Area
32980   Merrill, WI Micropolitan Statistical Area
33020   Mexico, MO Micropolitan Statistical Area
33060   Miami, OK Micropolitan Statistical Area
